id;title;image_link;body;link
1;Встроенные коллекции Dart: как реализовать в коде основные структуры данных. Глава из книги;https://habrastorage.org/r/w780/getpro/habr/upload_files/681/438/ba6/681438ba6ddf11eb927dc2420c9e7678.jpg;Привет, Хабр! Меня зовут Станислав Чернышев, я автор книги «Основы Dart», телеграм-канала MADTeacher и доцент кафедры прикладной информатики в Санкт-Петербургском государственном университете аэрокосмического приборостроения. При поддержке компании Friflex буквально на днях вышла печатная версия моей книги. В ней есть раздел о нюансах изоляционной модели памяти в Dart, сквозной проект на пять глав (игра «Крестики-Нолики») и две дополнительные главы: «Алгоритмы, структуры данных на Dart и встроенные коллекции» и «Интероперабельность в Dart (Dart FFI)».В этой статье я делюсь разделом «Встроенные коллекции Dart». В книге он идет после классических структур данных и их реализации на Dart. Такой подход, по моему мнению, позволяет лучше понять принципы работы встроенных коллекций, их сильные и слабые стороны.;https://habr.com/ru/companies/friflex/articles/819503/
2;Внутренняя кухня Security Operations Center: рецепт контента;https://habrastorage.org/r/w780/getpro/habr/upload_files/4ef/30e/c8b/4ef30ec8b6df53b7fd3da7d91164f221.jpeg;Привет, Хабр! Меня зовут Кирилл Рупасов. Я руковожу группой инженеров SOC (Security Operations Center) в «К2 Кибербезопасность». Я не понаслышке знаю, как порой непросто создавать контент для Центра мониторинга кибербезопасности. Написать одно правило обычно несложно, а вот разработать их связанный комплекс — задача достаточно трудная, особенно для молодых команд.Под катом я собрал всю полезную информацию о грамотном создании контента: виды правил и их нюансы, workflow и возможные проблемы, сценарии обработки инцидентов. А также рассказал, как мы организовали процесс разработки и поддержки актуальности контента в своем коммерческом SOC.;https://habr.com/ru/companies/k2tech/articles/819495/
3;Кастомные HTML-теги;None;Автор этой статьи затронул по-моему мнению очень важную тему, но может как-то не очень подробно её раскрыл, написание комментария с ответом вылилось в этот пост.;https://habr.com/ru/articles/819465/
4;Мой опыт создания frontend и backend приложений для моего стартапа;https://habrastorage.org/r/w1560/getpro/habr/upload_files/46b/23d/74d/46b23d74dc22dcbb6393fbef5d38d00d.png;В прошлой части я рассказывал как появилась идея стартапа, как найти потребности пользователей, как спроектировать продуктовые требования. Также я рассказал как сделал проектирование  и разработку дизайна.В этой части я хочу рассказать как проектировал backend & frontend приложения.Напомню что мы разрабатываем приложения для мерчанта, которое интегрируется в административную панель через iframe. Наше приложение должно иметь доступ к товарам, для того чтобы мерчант мог настроить маркетинговые кампании. Также приложение должно автоматически совершать публикации в Instagram.;https://habr.com/ru/articles/819489/
5;Делаем нативное мобильное приложение с ИИ и бэкендом (Туториал);None;В этой статье мы рассмотрим тонкости создания Proof of Concept (PoC) мобильного приложения, построенного с помощью фреймворка SwiftUI и бэкенда с использованием FastAPI и OpenAI API. Дополнительно я продемонстрирую эффективные архитектурные паттерны для SwiftUI-приложений, в частности MVVMP в сочетании с принципами SOLID и Dependency Injection (DI). Для андроид код можно легко перевести на Kotlin с помощью Jetpack Compose Framework.;https://habr.com/ru/articles/816345/
6;Как я создавал аудиоплеер на python с FFmpeg;https://habrastorage.org/r/w1560/getpro/habr/upload_files/452/1d5/58b/4521d558b5f870b7f3a72855dc06a022.png;Всех приветствую. Сегодня хочу поделиться опытом создания своего первого проекта на Python. Мой проект —  это простой аудиоплеер, и я хочу рассказать, как я его создавал, с  какими сложностями столкнулся и что из этого вышло.;https://habr.com/ru/articles/819477/
7;Книга: «Антипаттерны SQL. Как избежать ловушек при работе с базами данных»;None;Привет, Хаброжители!

Язык SQL необходим для работы со структурированными данными. Программисты, прекрасно знающие свой любимый язык (Java, Python или Go), не могут разбираться во всем, и часто не являются экспертами в SQL. Это приводит к появлению антипаттернов — решений, которые на первый взгляд кажутся правильными, но со временем создают все больше проблем.

